id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
52,akun kloning seolah2 pendukung menyerang paslon opini dan argumen pmbenaranjangan terkecoh,pmbenaranjangan,Politik Uang,0.4933,argumen,-4.0,"[0.0122, 0.0122, 0.9756]",argumen pmbenaranjangan terkecoh,1
52,akun kloning seolah2 pendukung menyerang paslon opini dan argumen pmbenaranjangan terkecoh,paslon,Tokoh dan Partai,0.634,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",menyerang paslon opini,1
52,akun kloning seolah2 pendukung menyerang paslon opini dan argumen pmbenaranjangan terkecoh,akun,Strategi Kampanye,0.4436,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",akun kloning,1
127,kasihan kasihan peluru 1milyar rw tidak mempan menangin pilkada,peluru,Politik Uang,0.4232,kasihan,-4.0,"[0.0122, 0.0122, 0.9756]",kasihan peluru 1milyar,1
127,kasihan kasihan peluru 1milyar rw tidak mempan menangin pilkada,kasihan,SARA,0.3,kasihan,-4.0,"[0.0122, 0.0122, 0.9756]",kasihan kasihan,1
149,awas ye kalo dukungan suara pendukung,suara,Pendukung/Pemilih,0.7175,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",dukungan suara pendukung,1
149,awas ye kalo dukungan suara pendukung,pendukung,Pendukung/Pemilih,0.6727,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",suara pendukung,1
37,aneh deh lebay sangkut pautkan kandidat calgub lebay dukung,pautkan,Politik Uang,0.5683,lebay,-4.0,"[0.0122, 0.0122, 0.9756]",sangkut pautkan kandidat,1
37,aneh deh lebay sangkut pautkan kandidat calgub lebay dukung,sangkut,Politik Uang,0.499,lebay,-4.0,"[0.0122, 0.0122, 0.9756]",lebay sangkut pautkan,1
135,allah swt ucapkan syukur dan terimakasih makna 17 suara,suara,Tokoh dan Partai,0.1761,makna,5.0,"[0.9804, 0.0098, 0.0098]",17 suara,1
238,terima kasih teruntuk pendukung kalianlah pembeda,kasih,Strategi Kampanye,0.4534,terima,2.0,"[0.9524, 0.0238, 0.0238]",terima kasih teruntuk,1
250,terima kasih keistiqomahan relawan tlh mengantarkan signifikan,keistiqomahan,Strategi Kampanye,0.4814,terima,2.0,"[0.9524, 0.0238, 0.0238]",kasih keistiqomahan relawan,1
250,terima kasih keistiqomahan relawan tlh mengantarkan signifikan,kasih,Strategi Kampanye,0.4273,terima,2.0,"[0.9524, 0.0238, 0.0238]",terima kasih keistiqomahan,1
172,om aa lepas kalah tutup mulut tidak koar bongkar surabaya,om,Tokoh dan Partai,0.2307,kalah,4.0,"[0.9756, 0.0122, 0.0122]",om aa,1
172,om aa lepas kalah tutup mulut tidak koar bongkar surabaya,surabaya,Tokoh dan Partai,0.4252,bongkar,3.0,"[0.9677, 0.0161, 0.0161]",bongkar surabaya,1
122,pencatutan nama dan mpo melanggar hukum tidak wkwkwkwkkwkk,hukum,Strategi Kampanye,0.6856,melanggar,5.0,"[0.9804, 0.0098, 0.0098]",melanggar hukum tidak,1
122,pencatutan nama dan mpo melanggar hukum tidak wkwkwkwkkwkk,pencatutan,Tokoh dan Partai,0.6355,melanggar,5.0,"[0.9804, 0.0098, 0.0098]",pencatutan nama,1
260,pastilah kan tidak suka ahok pas sudah kalah otomatis dukungannya lari mas aniessandi,dukungan,Strategi Kampanye,0.632,kalah,4.0,"[0.9756, 0.0122, 0.0122]",otomatis dukungan nya,1
260,pastilah kan tidak suka ahok pas sudah kalah otomatis dukungannya lari mas aniessandi,pastilah,Strategi Kampanye,0.4988,suka,-3.0,"[0.0161, 0.0161, 0.9677]",pastilah kan,1
260,pastilah kan tidak suka ahok pas sudah kalah otomatis dukungannya lari mas aniessandi,lari,Strategi Kampanye,0.5006,kalah,4.0,"[0.9756, 0.0122, 0.0122]",nya lari mas,1
260,pastilah kan tidak suka ahok pas sudah kalah otomatis dukungannya lari mas aniessandi,pas,Tokoh dan Partai,0.6384,kalah,4.0,"[0.9756, 0.0122, 0.0122]",ahok pas sudah,1
260,pastilah kan tidak suka ahok pas sudah kalah otomatis dukungannya lari mas aniessandi,mas,Tokoh dan Partai,0.3935,lari,-2.0,"[0.0238, 0.0238, 0.9524]",lari mas aniessandi,1
260,pastilah kan tidak suka ahok pas sudah kalah otomatis dukungannya lari mas aniessandi,ahok,Tokoh dan Partai,0.6387,suka,-3.0,"[0.0161, 0.0161, 0.9677]",suka ahok pas,1
80,banteng garuda ksatria gentle cinta,garuda,Tokoh dan Partai,0.4598,banteng,-3.0,"[0.0161, 0.0161, 0.9677]",banteng garuda ksatria,1
80,banteng garuda ksatria gentle cinta,ksatria,Tokoh dan Partai,0.4079,banteng,-3.0,"[0.0161, 0.0161, 0.9677]",garuda ksatria gentle,1
86,gara-gara ektp dikorupsi fotoku mirip pelan tapi pasti mirip stickmoticons,ektp,Politik Uang,0.4795,gara-gara,-5.0,"[0.0098, 0.0098, 0.9804]",gara-gara ektp dikorupsi,1
131,nih antasari kalah melempem benerbener akting,nih,Strategi Kampanye,0.4418,kalah,-4.0,"[0.0122, 0.0122, 0.9756]",nih antasari,1
104,ingat tidak bisa modal omongan tapi kerja nyata,omongan,Strategi Kampanye,0.6325,modal,-2.0,"[0.0238, 0.0238, 0.9524]",modal omongan tapi,1
104,ingat tidak bisa modal omongan tapi kerja nyata,modal,Strategi Kampanye,0.6678,ingat,-2.0,"[0.0238, 0.0238, 0.9524]",bisa modal omongan,1
104,ingat tidak bisa modal omongan tapi kerja nyata,kerja,Strategi Kampanye,0.7016,omongan,4.0,"[0.9756, 0.0122, 0.0122]",tapi kerja nyata,1
177,paslon salah langkah sandi bukan tidak mungkin bumerang gagal dapat suara,suara,Strategi Kampanye,0.6778,gagal,4.0,"[0.9756, 0.0122, 0.0122]",dapat suara,1
177,paslon salah langkah sandi bukan tidak mungkin bumerang gagal dapat suara,bumerang,Strategi Kampanye,0.6342,gagal,4.0,"[0.9756, 0.0122, 0.0122]",mungkin bumerang gagal,1
177,paslon salah langkah sandi bukan tidak mungkin bumerang gagal dapat suara,sandi,Strategi Kampanye,0.6322,langkah,-4.0,"[0.0122, 0.0122, 0.9756]",langkah sandi bukan,1
78,manakah sang ksatria samurai prajurit pembangun semangat harapan pahlawan dinantinantikan rakyat,harapan,Strategi Kampanye,0.544,semangat,4.0,"[0.9756, 0.0122, 0.0122]",semangat harapan pahlawan,1
47,awas ye kalo dukungan suara pendukung,suara,Pendukung/Pemilih,0.7175,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",dukungan suara pendukung,1
47,awas ye kalo dukungan suara pendukung,pendukung,Pendukung/Pemilih,0.6727,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",suara pendukung,1
105,pelaku pengirim sms gelap antasari azhar,pelaku,Pendukung/Pemilih,0.5685,gelap,-4.0,"[0.0122, 0.0122, 0.9756]",pelaku pengirim,1
